1,26,456922
2,-38,633050
3,33,1123657
4,-23,447140
5,77,3797138
6,-72,5419923
7,83,5586274
8,-42,916663
9,130,1990005
10,-38,872000
11,23,101061
12,-31,126939
13,57,379071
14,-77,1268929
15,43,688565
16,-30,403717
17,148,3923868
18,-29,1775275
19,27,704889
20,-39,907321
21,22,893031
22,-23,983334
23,45,1864284
24,-31,2991426
25,36,854286
26,-151,6486468
27,41,403536
28,-42,321532
29,21,265823
30,-24,332049
31,53,570148
32,-44,737948
33,21,280500
34,-77,2412000
35,24,300000
36,-34,1140000
37,43,1117500
38,-42,2748213
39,40,859287
40,-34,645000
41,44,2344284
42,-23,1725715
43,49,1430154
44,-95,229847
45,53,174540
46,-108,385460
47,21,267355
48,-23,99309
49,63,573336
50,-40,499278
51,63,684354
52,-159,1715988
53,24,324012
54,-404,1512216
55,29,145902
56,-83,633066
57,31,144334
58,-33,216350
59,81,808500
60,-34,328500
61,63,354900
62,-61,490376
63,38,215224
64,-40,495480
65,40,210670
66,-89,1838292
67,22,493058
68,-25,224720
69,42,579494
70,-103,2361356
71,82,2300930
72,-83,1788298
73,29,557697
74,-32,263130
75,34,158688
76,-77,1343187
77,45,633000
78,-38,214694
79,106,333450
80,-52,84186
81,26,93220
82,-24,32910
83,56,102764
84,-74,258333
85,24,162439
86,-41,196084
87,56,286475
88,-21,172899
89,24,105058
90,-91,988430
91,2055,22066796
92,-29,3714546
93,35,6514284
94,-21,4244466
95,87,8091246
96,-94,6638004
97,60,13065333
98,-112,1836666
99,65,6230001
100,-33,7639089
101,27,6850911
102,-92,3968570
103,49,5875430
104,-21,2481000
105,70,1055000
106,-23,319200
107,82,4603064
108,-38,1437736
109,138,7861150
110,-68,3681350
111,26,2516500
112,-38,2182664
113,29,3403336
114,-91,8053070
115,41,1187838
116,-60,947599
117,24,711491
118,-41,1795002
119,27,867000
120,-36,1118763
121,28,1931961
122,-42,1490607
123,24,1158669
124,-30,817350
125,22,1310650
126,-21,1334000
127,62,8482150
128,-141,2900949
129,22,300401
130,-45,1800000
131,123,19035000
132,-27,702500
133,90,1726000
134,-79,1727670
135,27,1116330
136,-96,5301000
137,49,5703000
138,-27,1316000
139,165,8532222
140,-36,1461778
141,62,1421000
142,-23,3196816
143,22,4423638
144,-34,8177877
145,21,1311669
146,-60,2763750
147,30,767250
148,-42,1049000
149,38,3514996
150,-57,6627504
151,190,15221784
152,-35,3044466
153,31,5921250
154,-26,10220000
155,26,1242000
156,-65,707998
157,29,1997502
158,-22,2131730
159,28,1685770
160,-22,9665000
161,33,7573330
162,-60,2590002
163,117,20428668
164,-35,1248000
165,25,2112000
166,-72,5949816
167,95,15724245
168,-21,446343
169,28,1098096
170,-73,2263925
171,66,10250575
172,-168,12249000
173,38,6009000
174,-39,11766816
175,136,3301952
176,-59,4455462
177,63,14074402
178,-61,7449366
179,35,5957502
180,-49,4732500
181,22,1717500
182,-44,3193925
183,34,2048575
184,-30,1015000
185,104,2636159
186,-54,1281200
187,25,583983
188,-30,847058
189,24,1640168
190,-24,1544176
191,23,2183540
192,-81,4347000
193,32,3513000
194,-41,1170855
195,33,1852145
196,-48,2113750
197,37,1170000
198,-24,793977
199,54,1229881
200,-27,622392
201,53,2114996
202,-21,2440004
203,123,17872840
204,-34,5490015
205,63,18414645
206,-42,1422498
207,65,7725002
208,-75,10153750
209,45,5130534
210,-30,1005120
211,33,986746
212,-59,6453850
213,48,8086666
214,-80,7243333
215,87,1823633
216,-22,1960368
217,44,1632000
218,-32,8310666
219,46,9306184
220,-28,652150
221,32,1498330
222,-39,2748095
223,36,3588575
224,-56,9728460
225,28,5045540
226,-96,1045998
227,140,19403634
228,-70,4370118
